"Source","Target"
"991236049316859904","999333211342802944"
"991236049316859904","997596426376015872"
"991236049316859904","995970996493570049"
"991236049316859904","995728336390369286"
"991236049316859904","995604886409695233"
"991236049316859904","995383800"
"991236049316859904","994557446784876545"
"991236049316859904","994200350998528001"
"991236049316859904","994149983409655809"
"991236049316859904","990052896"
"991236049316859904","989208093325185030"
"991236049316859904","986106952009814018"
"991236049316859904","985189174365048833"
"991236049316859904","984710655814008832"
"991236049316859904","982939871340875777"
"991236049316859904","982895741080399872"
"991236049316859904","981329389"
"991236049316859904","978974595033260032"
"991236049316859904","978538979741052928"
"991236049316859904","978391787764174851"
"991236049316859904","978184280"
"991236049316859904","977590977144729601"
"991236049316859904","973990619759685637"
"991236049316859904","973182259099467777"
"991236049316859904","972923641775251458"
"991236049316859904","971500920503783424"
"991236049316859904","971268403217477633"
"991236049316859904","971109934262824962"
"991236049316859904","970698288830627840"
"991236049316859904","97037029"
"991236049316859904","969500124"
"991236049316859904","968846250417127425"
"991236049316859904","967615260986302464"
"991236049316859904","967026553346502657"
"991236049316859904","967005895082246144"
"991236049316859904","966641732417925120"
"991236049316859904","96618382"
"991236049316859904","966027874083000320"
"991236049316859904","96583301"
"991236049316859904","965435695"
"991236049316859904","963852986064699393"
"991236049316859904","961716109820006402"
"991236049316859904","961544761369915393"
"991236049316859904","961028155296317440"
"991236049316859904","960413060753174528"
"991236049316859904","958638150938693632"
"991236049316859904","958417789609529344"
"991236049316859904","957017293531336706"
"991236049316859904","95621983"
"991236049316859904","955580755329081344"
"991236049316859904","955486707553533952"
"991236049316859904","955004636276015106"
"991236049316859904","954909104702742528"
"991236049316859904","954590804"
"991236049316859904","952019936573931520"
"991236049316859904","951900466748719104"
"991236049316859904","95188073"
"991236049316859904","951730583616409600"
"991236049316859904","951408200330313728"
"991236049316859904","951292206337396737"
"991236049316859904","950306215937982464"
"991236049316859904","949283775904604160"
"991236049316859904","947929379727925248"
"991236049316859904","947739565"
"991236049316859904","947099915578171393"
"991236049316859904","945609016859877377"
"991236049316859904","944332594967179265"
"991236049316859904","944317021709271041"
"991236049316859904","943559694303539203"
"991236049316859904","943222430788734976"
"991236049316859904","943136279612542976"
"991236049316859904","942754965528895488"
"991236049316859904","942530178433146882"
"991236049316859904","941590933291745280"
"991236049316859904","941330028612194306"
"991236049316859904","941175094252003329"
"991236049316859904","938287849429925888"
"991236049316859904","937969846230269955"
"991236049316859904","937232076671037440"
"991236049316859904","937078020287762432"
"991236049316859904","936894325350285313"
"991236049316859904","936773607832690689"
"991236049316859904","936617313838579713"
"991236049316859904","935228774714630147"
"991236049316859904","934017923089338368"
"991236049316859904","933215046909300742"
"991236049316859904","930784468704489472"
"991236049316859904","930415095166926853"
"991236049316859904","930027867345387521"
"991236049316859904","929660290047897601"
"991236049316859904","929568252"
"991236049316859904","928639720153759744"
"991236049316859904","928509686"
"991236049316859904","92849144"
"991236049316859904","928338437207478274"
"991236049316859904","928271279492186113"
"991236049316859904","92817180"
"991236049316859904","927940587373907968"
"991236049316859904","926345217652879360"
"991236049316859904","925187454"
"991236049316859904","925112851894865920"
"991236049316859904","923557501194219520"
"991236049316859904","922637902084841473"
"991236049316859904","922619974367068161"
"991236049316859904","922567264699867136"
"991236049316859904","922210228514541569"
"991236049316859904","921457507"
"991236049316859904","920624320346431488"
"991236049316859904","918793154454867969"
"991236049316859904","918759694466015232"
"991236049316859904","918572268741185537"
"991236049316859904","918440372598202368"
"991236049316859904","917212221746307072"
"991236049316859904","917084527440355329"
"991236049316859904","917081557835374593"
"991236049316859904","917006397501517824"
"991236049316859904","916395979678433280"
"991236049316859904","916204943400427520"
"991236049316859904","915181443231313920"
"991236049316859904","914755659291414528"
"991236049316859904","914599977858555904"
"991236049316859904","914581877935177730"
"991236049316859904","914182228690849792"
"991236049316859904","913354358909173760"
"991236049316859904","911125075276922880"
"991236049316859904","910941473461465088"
"991236049316859904","910885910014603264"
"991236049316859904","910853942493564928"
"991236049316859904","910801124155953152"
