source, target
"996698079180050433","993448094"
"996698079180050433","948032205124759553"
"996698079180050433","92945903"
"996698079180050433","906226580"
"996698079180050433","890737865705099264"
"996698079180050433","858739669537890306"
"996698079180050433","851153695806980097"
"996698079180050433","847419130772770816"
"996698079180050433","842497726181003269"
"996698079180050433","83614322"
"996698079180050433","813136916916957185"
"996698079180050433","798850881969999872"
"996698079180050433","78837796"
"996698079180050433","781918265400492033"
"996698079180050433","77718403"
"996698079180050433","67557823"
"996698079180050433","63478646"
"996698079180050433","617221191"
"996698079180050433","614554302"
"996698079180050433","585736569"
"996698079180050433","576427870"
"996698079180050433","576200095"
"996698079180050433","567450117"
"996698079180050433","562330436"
"996698079180050433","528493066"
"996698079180050433","516599775"
"996698079180050433","494277470"
"996698079180050433","493170552"
"996698079180050433","493004190"
"996698079180050433","4919853082"
"996698079180050433","419682561"
"996698079180050433","416883574"
"996698079180050433","410735213"
"996698079180050433","38513684"
"996698079180050433","343577566"
"996698079180050433","3347381537"
"996698079180050433","3257215162"
"996698079180050433","3149363583"
"996698079180050433","3079713538"
"996698079180050433","306639488"
"996698079180050433","3041592287"
"996698079180050433","302906057"
"996698079180050433","2968158357"
"996698079180050433","2960220189"
"996698079180050433","2846737657"
"996698079180050433","275219597"
"996698079180050433","2685425294"
"996698079180050433","2610041641"
"996698079180050433","2464135300"
"996698079180050433","2460929274"
"996698079180050433","2275106482"
"996698079180050433","227429077"
"996698079180050433","2216498889"
"996698079180050433","2189949066"
"996698079180050433","216308857"
"996698079180050433","1978408759"
"996698079180050433","17588280"
"996698079180050433","1733504264"
"996698079180050433","1699582302"
"996698079180050433","1543813320"
"996698079180050433","1425787915"
"996698079180050433","123224069"
"996698079180050433","1212569892"
"996698079180050433","111858564"
"996698079180050433","1030090065249222661"
"996698079180050433","1025197435"
"996698079180050433","1020730072376987648"
"996368717603844098","3480236423"
"996368717603844098","2275106482"
"994934816352231425","990375282673684481"
"994934816352231425","929660290047897601"
"994934816352231425","842439051915468801"
"994934816352231425","834800247503196160"
"994934816352231425","817189792769339392"
"994934816352231425","762906508627681280"
"994934816352231425","757160783595921409"
"994934816352231425","751527727623180292"
"994934816352231425","3254253723"
